Station_Title,Subway_Num,Operation,Station1,Location,Station2,longitude,latitude,x,y,Subway_Num2
宝安中心,1,1,宝安中心地铁站,"113.887233,22.554575",宝安中心(地铁站),113.887233,22.554575,0.141853933,0.414122137,1号线(罗宝线)
宝体,1,1,宝体地铁站,"113.880641,22.560741",宝体(地铁站),113.880641,22.560741,0.119382022,0.442748092,1号线(罗宝线)
坪洲,1,1,坪洲地铁站,"113.870711,22.568908",坪洲(地铁站),113.870711,22.568908,0.119382022,0.473282443,1号线(罗宝线)
西乡,1,1,西乡地铁站,"113.863048,22.575149",西乡(地铁站),113.863048,22.575149,0.119382022,0.501908397,1号线(罗宝线)
固戍,1,1,固戍地铁站,"113.846792,22.601363",固戍(地铁站),113.846792,22.601363,0.119382022,0.534351145,1号线(罗宝线)
后瑞,1,1,后瑞地铁站,"113.835449,22.628835",后瑞(地铁站),113.835449,22.628835,0.119382022,0.564885496,1号线(罗宝线)
机场东,1,1,机场东地铁站,"113.822634,22.647001",机场东(地铁站),113.822634,22.647001,0.119382022,0.603053435,1号线(罗宝线)
赤湾,2,1,赤湾地铁站,"113.897234,22.479067",赤湾(地铁站),113.897234,22.479067,0.068820225,0.08778626,2号线(蛇口线)
蛇口港,2,1,蛇口港地铁站,"113.912331,22.476626",蛇口港(地铁站),113.912331,22.476626,0.091292135,0.057251908,2号线(蛇口线)
海上世界,2,1,海上世界地铁站,"113.915111,22.485101",海上世界(地铁站),113.915111,22.485101,0.122191011,0.070610687,2号线(蛇口线)
水湾,2,1,水湾地铁站,"113.919686,22.488389",水湾(地铁站),113.919686,22.488389,0.141853933,0.097328244,2号线(蛇口线)
东角头,2,1,东角头地铁站,"113.931149,22.486325",东角头(地铁站),113.931149,22.486325,0.162921348,0.125954198,2号线(蛇口线)
湾厦,2,1,湾厦地铁站,"113.938604,22.493353",湾厦(地铁站),113.938604,22.493353,0.18258427,0.152671756,2号线(蛇口线)
海月,2,1,海月地铁站,"113.937715,22.500409",海月(地铁站),113.937715,22.500409,0.200842697,0.177480916,2号线(蛇口线)
登良,2,1,登良地铁站,"113.937602,22.509146",登良(地铁站),113.937602,22.509146,0.219101124,0.202290076,2号线(蛇口线)
后海,2,1,后海地铁站,"113.942498,22.518422",后海(地铁站),113.942498,22.518422,0.238764045,0.230916031,2号线(蛇口线)
科苑,2,1,科苑地铁站,"113.946195,22.527019",科苑(地铁站),113.946195,22.527019,0.255617978,0.29389313,2号线(蛇口线)
红树湾,2,1,红树湾地铁站,"113.968432,22.525142",红树湾(地铁站),113.968432,22.525142,0.282303371,0.29389313,2号线(蛇口线)
世界之窗,2,1,世界之窗地铁站,"113.974216,22.536900",世界之窗(地铁站),113.974216,22.5369,0.320224719,0.339694656,2号线(蛇口线)
侨城北,2,1,侨城北地铁站,"113.989148,22.543992",侨城北(地铁站),113.989148,22.543992,0.327247191,0.391221374,2号线(蛇口线)
深康,2,1,深康地铁站,"113.998846,22.546456",深康(地铁站),113.998846,22.546456,0.344101124,0.391221374,2号线(蛇口线)
安托山,2,1,安托山地铁站,"114.006236,22.548785",安托山(地铁站),114.006236,22.548785,0.375,0.391221374,2号线(蛇口线)
侨香,2,1,侨香地铁站,"114.014378,22.549784",侨香(地铁站),114.014378,22.549784,0.394662921,0.391221374,2号线(蛇口线)
香蜜,2,1,香蜜地铁站,"114.023851,22.552772",香蜜(地铁站),114.023851,22.552772,0.414325843,0.391221374,2号线(蛇口线)
香梅北,2,1,香梅北地铁站,"114.032716,22.553860",香梅北(地铁站),114.032716,22.55386,0.433988764,0.391221374,2号线(蛇口线)
景田,2,1,景田地铁站,"114.043343,22.553419",景田(地铁站),114.043343,22.553419,0.457865169,0.391221374,2号线(蛇口线)
莲花西,2,1,莲花西地铁站,"114.050034,22.546668",莲花西(地铁站),114.050034,22.546668,0.492977528,0.391221374,2号线(蛇口线)
福田,2,1,福田地铁站,"114.052879,22.540087",福田(地铁站),114.052879,22.540087,0.528089888,0.391221374,2号线(蛇口线)
市民中心,2,1,市民中心地铁站,"114.061192,22.541744",市民中心(地铁站),114.061192,22.541744,0.55758427,0.391221374,2号线(蛇口线)
岗厦北,2,1,岗厦北地铁站,"114.069240,22.540937",岗厦北(地铁站),114.06924,22.540937,0.598314607,0.391221374,2号线(蛇口线)
华强北,2,1,华强北地铁站,"114.085413,22.544441",华强北(地铁站),114.085413,22.544441,0.641853933,0.391221374,2号线(蛇口线)
燕南,2,1,燕南地铁站,"114.092561,22.544541",燕南(地铁站),114.092561,22.544541,0.683988764,0.391221374,2号线(蛇口线)
大剧院,2,1,大剧院地铁站,"114.107811,22.541800",大剧院(地铁站),114.107811,22.5418,0.723314607,0.391221374,2号线(蛇口线)
湖贝,2,1,湖贝地铁站,"114.125437,22.544287",湖贝(地铁站),114.125437,22.544287,0.786516854,0.391221374,2号线(蛇口线)
黄贝岭,2,1,黄贝岭地铁站,"114.136332,22.546095",黄贝岭(地铁站),114.136332,22.546095,0.831460674,0.391221374,2号线(蛇口线)
新秀,2,1,新秀地铁站,"114.148765,22.547688",新秀(地铁站),114.148765,22.547688,0.862359551,0.391221374,2号线(蛇口线)
益田,3,1,益田地铁站,"114.050987,22.516287",益田(地铁站),114.050987,22.516287,0.528089888,0.217557252,3号线(龙岗线)
石厦,3,1,石厦地铁站,"114.053616,22.523708",石厦(地铁站),114.053616,22.523708,0.528089888,0.27480916,3号线(龙岗线)
购物公园,3,1,购物公园地铁站,"114.054581,22.534655",购物公园(地铁站),114.054581,22.534655,0.528089888,0.33778626,3号线(龙岗线)
福田,3,1,福田地铁站,"114.052879,22.540087",福田(地铁站),114.052879,22.540087,0.528089888,0.393129771,3号线(龙岗线)
少年宫,3,1,少年宫地铁站,"114.060170,22.548627",少年宫(地铁站),114.06017,22.548627,0.55758427,0.452290076,3号线(龙岗线)
莲花村,3,1,莲花村地铁站,"114.067829,22.548646",莲花村(地铁站),114.067829,22.548646,0.599719101,0.452290076,3号线(龙岗线)
华新,3,1,华新地铁站,"114.086654,22.548981",华新(地铁站),114.086654,22.548981,0.641853933,0.452290076,3号线(龙岗线)
通新岭,3,1,通新岭地铁站,"114.096273,22.549126",通新岭(地铁站),114.096273,22.549126,0.683988764,0.452290076,3号线(龙岗线)
红岭,3,1,红岭地铁站,"114.104584,22.548380",红岭(地铁站),114.104584,22.54838,0.709269663,0.452290076,3号线(龙岗线)
老街,3,1,老街地铁站,"114.116939,22.544232",老街(地铁站),114.116939,22.544232,0.773876404,0.452290076,3号线(龙岗线)
晒布,3,1,晒布地铁站,"114.122664,22.549238",晒布(地铁站),114.122664,22.549238,0.773876404,0.477099237,3号线(龙岗线)
翠竹,3,1,翠竹地铁站,"114.129883,22.556188",翠竹(地铁站),114.129883,22.556188,0.773876404,0.501908397,3号线(龙岗线)
田贝,3,1,田贝地铁站,"114.130052,22.567280",田贝(地铁站),114.130052,22.56728,0.773876404,0.532442748,3号线(龙岗线)
水贝,3,1,水贝地铁站,"114.124974,22.573988",水贝(地铁站),114.124974,22.573988,0.773876404,0.572519084,3号线(龙岗线)
草埔,3,1,草埔地铁站,"114.116500,22.584447",草埔(地铁站),114.1165,22.584447,0.773876404,0.603053435,3号线(龙岗线)
布吉,3,1,布吉地铁站,"114.121571,22.601765",布吉(地铁站),114.121571,22.601765,0.773876404,0.639312977,3号线(龙岗线)
木棉湾,3,1,木棉湾地铁站,"114.130293,22.606997",木棉湾(地铁站),114.130293,22.606997,0.773876404,0.687022901,3号线(龙岗线)
大芬,3,1,大芬地铁站,"114.138364,22.614191",大芬(地铁站),114.138364,22.614191,0.773876404,0.715648855,3号线(龙岗线)
丹竹头,3,1,丹竹头地铁站,"114.148054,22.619752",丹竹头(地铁站),114.148054,22.619752,0.773876404,0.744274809,3号线(龙岗线)
六约,3,1,六约地铁站,"114.180646,22.634322",六约(地铁站),114.180646,22.634322,0.790960452,0.77480916,3号线(龙岗线)
塘坑,3,1,塘坑地铁站,"114.192725,22.639179",塘坑(地铁站),114.192725,22.639179,0.801966292,0.791984733,3号线(龙岗线)
横岗,3,1,横岗地铁站,"114.208994,22.648442",横岗(地铁站),114.208994,22.648442,0.818820225,0.812977099,3号线(龙岗线)
永湖,3,1,永湖地铁站,"114.218042,22.658995",永湖(地铁站),114.218042,22.658995,0.832865169,0.833969466,3号线(龙岗线)
荷坳,3,1,荷坳地铁站,"114.224310,22.673079",荷坳(地铁站),114.22431,22.673079,0.848314607,0.854961832,3号线(龙岗线)
大运,3,1,大运地铁站,"114.228163,22.685720",大运(地铁站),114.228163,22.68572,0.863764045,0.875954198,3号线(龙岗线)
爱联,3,1,爱联地铁站,"114.234423,22.697495",爱联(地铁站),114.234423,22.697495,0.879213483,0.896946565,3号线(龙岗线)
吉祥,3,1,吉祥地铁站,"114.244318,22.709488",吉祥(地铁站),114.244318,22.709488,0.894662921,0.917938931,3号线(龙岗线)
龙城广场,3,1,龙城广场地铁站,"114.254592,22.716915",龙城广场(地铁站),114.254592,22.716915,0.91011236,0.938931298,3号线(龙岗线)
南联,3,1,南联地铁站,"114.265531,22.721967",南联(地铁站),114.265531,22.721967,0.928370787,0.958015267,3号线(龙岗线)
双龙,3,1,双龙地铁站,"114.277422,22.728806",双龙(地铁站),114.277422,22.728806,0.950842697,0.958015267,3号线(龙岗线)
清湖,4,1,清湖地铁站,"114.036538,22.664085",清湖(地铁站),114.036538,22.664085,0.60252809,0.805343511,4号线(龙华线)
龙华,4,1,龙华地铁站,"114.022419,22.651629",龙华(地铁站),114.022419,22.651629,0.587078652,0.784351145,4号线(龙华线)
龙胜,4,1,龙胜地铁站,"114.012010,22.644739",龙胜(地铁站),114.01201,22.644739,0.573033708,0.765267176,4号线(龙华线)
上塘,4,1,上塘地铁站,"114.012808,22.637134",上塘(地铁站),114.012808,22.637134,0.55758427,0.729007634,4号线(龙华线)
红山,4,1,红山地铁站,"114.023465,22.621886",红山(地铁站),114.023465,22.621886,0.55758427,0.687022901,4号线(龙华线)
深圳北站,4,1,深圳北站地铁站,"114.030298,22.610496",深圳北站(地铁站),114.030298,22.610496,0.55758427,0.639312977,4号线(龙华线)
白石龙,4,1,白石龙地铁站,"114.042490,22.601574",白石龙(地铁站),114.04249,22.601574,0.55758427,0.595419847,4号线(龙华线)
民乐,4,1,民乐地铁站,"114.048809,22.594144",民乐(地铁站),114.048809,22.594144,0.55758427,0.564885496,4号线(龙华线)
上梅林,4,1,上梅林地铁站,"114.059440,22.570462",上梅林(地铁站),114.05944,22.570462,0.55758427,0.534351145,4号线(龙华线)
莲花北,4,1,莲花北地铁站,"114.059402,22.560538",莲花北(地铁站),114.059402,22.560538,0.55758427,0.509541985,4号线(龙华线)
少年宫,4,1,少年宫地铁站,"114.060170,22.548627",少年宫(地铁站),114.06017,22.548627,0.55758427,0.452290076,4号线(龙华线)
市民中心,4,1,市民中心地铁站,"114.061192,22.541744",市民中心(地铁站),114.061192,22.541744,0.55758427,0.393129771,4号线(龙华线)
会展中心,4,1,会展中心地铁站,"114.061101,22.534769",会展中心(地铁站),114.061101,22.534769,0.55758427,0.33778626,4号线(龙华线)
福民,4,1,福民地铁站,"114.065915,22.523226",福民(地铁站),114.065915,22.523226,0.561797753,0.27480916,4号线(龙华线)
福田口岸,4,1,福田口岸地铁站,"114.069273,22.515737",福田口岸(地铁站),114.069273,22.515737,0.563202247,0.236641221,4号线(龙华线)
黄贝岭,5,1,黄贝岭地铁站,"114.136332,22.546095",黄贝岭(地铁站),114.136332,22.546095,0.831460674,0.393129771,5号线(环中线)
怡景,5,1,怡景地铁站,"114.140115,22.555856",怡景(地铁站),114.140115,22.555856,0.831460674,0.425572519,5号线(环中线)
太安,5,1,太安地铁站,"114.137119,22.573466",太安(地铁站),114.137119,22.573466,0.831460674,0.473282443,5号线(环中线)
布心,5,1,布心地铁站,"114.138045,22.580986",布心(地铁站),114.138045,22.580986,0.831460674,0.513358779,5号线(环中线)
百鸽笼,5,1,百鸽笼地铁站,"114.130331,22.595442",百鸽笼(地铁站),114.130331,22.595442,0.831460674,0.553435115,5号线(环中线)
布吉,5,1,布吉地铁站,"114.121571,22.601765",布吉(地铁站),114.121571,22.601765,0.77247191,0.639312977,5号线(环中线)
长龙,5,1,长龙地铁站,"114.113825,22.608053",长龙(地铁站),114.113825,22.608053,0.745786517,0.639312977,5号线(环中线)
下水径,5,1,下水径地铁站,"114.110662,22.614833",下水径(地铁站),114.110662,22.614833,0.719101124,0.639312977,5号线(环中线)
上水径,5,1,上水径地铁站,"114.105337,22.622046",上水径(地铁站),114.105337,22.622046,0.693820225,0.639312977,5号线(环中线)
杨美,5,1,杨美地铁站,"114.079975,22.626777",杨美(地铁站),114.079975,22.626777,0.665730337,0.639312977,5号线(环中线)
坂田,5,1,坂田地铁站,"114.070852,22.627483",坂田(地铁站),114.070852,22.627483,0.639044944,0.639312977,5号线(环中线)
五和,5,1,五和地铁站,"114.060681,22.626833",五和(地铁站),114.060681,22.626833,0.613764045,0.639312977,5号线(环中线)
民治,5,1,民治地铁站,"114.040850,22.617545",民治(地铁站),114.04085,22.617545,0.585674157,0.639312977,5号线(环中线)
深圳北站,5,1,深圳北站地铁站,"114.030298,22.610496",深圳北站(地铁站),114.030298,22.610496,0.55758427,0.639312977,5号线(环中线)
长岭陂,5,1,长岭陂地铁站,"114.010275,22.599395",长岭陂(地铁站),114.010275,22.599395,0.519662921,0.639312977,5号线(环中线)
塘朗,5,1,塘朗地铁站,"113.999666,22.590097",塘朗(地铁站),113.999666,22.590097,0.488764045,0.639312977,5号线(环中线)
大学城,5,1,大学城地铁站,"113.965307,22.581946",大学城(地铁站),113.965307,22.581946,0.457865169,0.639312977,5号线(环中线)
西丽,5,1,西丽地铁站,"113.954396,22.580677",西丽(地铁站),113.954396,22.580677,0.405898876,0.639312977,5号线(环中线)
留仙洞,5,1,留仙洞地铁站,"113.943543,22.580534",留仙洞(地铁站),113.943543,22.580534,0.369382022,0.639312977,5号线(环中线)
兴东,5,1,兴东地铁站,"113.919013,22.581822",兴东(地铁站),113.919013,22.581822,0.33988764,0.639312977,5号线(环中线)
洪浪北,5,1,洪浪北地铁站,"113.910585,22.574543",洪浪北(地铁站),113.910585,22.574543,0.296348315,0.625954198,5号线(环中线)
灵芝,5,1,灵芝地铁站,"113.904158,22.568964",灵芝(地铁站),113.904158,22.568964,0.25,0.559160305,5号线(环中线)
翻身,5,1,翻身地铁站,"113.893232,22.559690",翻身(地铁站),113.893232,22.55969,0.196629213,0.488549618,5号线(环中线)
宝安中心,5,1,宝安中心地铁站,"113.887233,22.554575",宝安中心(地铁站),113.887233,22.554575,0.141853933,0.414122137,5号线(环中线)
宝华,5,1,宝华地铁站,"113.885090,22.549635",宝华(地铁站),113.88509,22.549635,0.103932584,0.36259542,5号线(环中线)
临海,5,1,临海地铁站,"113.889323,22.544160",临海(地铁站),113.889323,22.54416,0.110955056,0.339694656,5号线(环中线)
前海湾,5,1,前海湾地铁站,"113.897932,22.537121",前海湾(地铁站),113.897932,22.537121,0.141853933,0.33778626,5号线(环中线)
西丽湖,7,1,西丽湖地铁站,"113.965648,22.593567",西丽湖(地铁站),113.965648,22.593567,0.435393258,0.679389313,7号线
西丽,7,1,西丽地铁站,"113.954396,22.580677",西丽(地铁站),113.954396,22.580677,0.407303371,0.639312977,7号线
茶光,7,1,茶光地铁站,"113.954311,22.574138",茶光(地铁站),113.954311,22.574138,0.382022472,0.606870229,7号线
珠光,7,1,珠光地铁站,"113.960559,22.568270",珠光(地铁站),113.960559,22.56827,0.373595506,0.564885496,7号线
龙井,7,1,龙井地铁站,"113.974687,22.564010",龙井(地铁站),113.974687,22.56401,0.373595506,0.528625954,7号线
桃源村,7,1,桃源村地铁站,"113.981962,22.559900",桃源村(地铁站),113.981962,22.5599,0.373595506,0.490458015,7号线
深云,7,1,深云地铁站,"113.993727,22.556537",深云(地铁站),113.993727,22.556537,0.375,0.452290076,7号线
安托山,7,1,安托山地铁站,"114.006236,22.548785",安托山(地铁站),114.006236,22.548785,0.375,0.393129771,7号线
农林,7,1,农林地铁站,"114.018135,22.540411",农林(地铁站),114.018135,22.540411,0.431179775,0.351145038,7号线
车公庙,7,1,车公庙地铁站,"114.025830,22.536247",车公庙(地铁站),114.02583,22.536247,0.460674157,0.339694656,7号线
上沙,7,1,上沙地铁站,"114.035504,22.524612",上沙(地铁站),114.035504,22.524612,0.476123596,0.276717557,7号线
沙尾,7,1,沙尾地铁站,"114.042579,22.520798",沙尾(地铁站),114.042579,22.520798,0.497191011,0.276717557,7号线
石厦,7,1,石厦地铁站,"114.053616,22.523708",石厦(地铁站),114.053616,22.523708,0.528089888,0.27480916,7号线
皇岗村,7,1,皇岗村地铁站,"114.059823,22.523138",皇岗村(地铁站),114.059823,22.523138,0.54494382,0.276717557,7号线
福民,7,1,福民地铁站,"114.065915,22.523226",福民(地铁站),114.065915,22.523226,0.561797753,0.27480916,7号线
皇岗口岸,7,1,皇岗口岸地铁站,"114.073972,22.521799",皇岗口岸(地铁站),114.073972,22.521799,0.60252809,0.238549618,7号线
赤尾,7,1,赤尾地铁站,"114.083598,22.531374",赤尾(地铁站),114.083598,22.531374,0.641853933,0.267175573,7号线
华强南,7,1,华强南地铁站,"114.086825,22.537214",华强南(地铁站),114.086825,22.537214,0.641853933,0.314885496,7号线
华强北,7,1,华强北地铁站,"114.085413,22.544441",华强北(地铁站),114.085413,22.544441,0.641853933,0.393129771,7号线
华新,7,1,华新地铁站,"114.086654,22.548981",华新(地铁站),114.086654,22.548981,0.641853933,0.452290076,7号线
黄木岗,7,1,黄木岗地铁站,"114.087280,22.555843",黄木岗(地铁站),114.08728,22.555843,0.653089888,0.509541985,7号线
八卦岭,7,1,八卦岭地铁站,"114.095079,22.561940",八卦岭(地铁站),114.095079,22.56194,0.683988764,0.534351145,7号线
红岭北,7,1,红岭北地铁站,"114.104315,22.562030",红岭北(地铁站),114.104315,22.56203,0.709269663,0.534351145,7号线
笋岗,7,1,笋岗地铁站,"114.111295,22.563406",笋岗(地铁站),114.111295,22.563406,0.733146067,0.534351145,7号线
洪湖,7,1,洪湖地铁站,"114.122465,22.566056",洪湖(地铁站),114.122465,22.566056,0.751404494,0.534351145,7号线
田贝,7,1,田贝地铁站,"114.130052,22.567280",田贝(地铁站),114.130052,22.56728,0.77247191,0.534351145,7号线
太安,7,1,太安地铁站,"114.137119,22.573466",太安(地铁站),114.137119,22.573466,0.831460674,0.473282443,7号线
红树湾南,9,1,红树湾南地铁站,"113.971433,22.523023",红树湾南(地铁站),113.971433,22.523023,0.289325843,0.267175573,9号线
深湾,9,1,深湾地铁站,"113.978620,22.523078",深湾(地铁站),113.97862,22.523078,0.345505618,0.265267176,9号线
深圳湾公园,9,1,深圳湾公园地铁站,"113.993114,22.521591",深圳湾公园(地铁站),113.993114,22.521591,0.386235955,0.265267176,9号线
下沙,9,1,下沙地铁站,"114.024334,22.528900",下沙(地铁站),114.024334,22.5289,0.43258427,0.265267176,9号线
车公庙,9,1,车公庙地铁站,"114.025830,22.536247",车公庙(地铁站),114.02583,22.536247,0.459269663,0.339694656,9号线
香梅,9,1,香梅地铁站,"114.039683,22.545356",香梅(地铁站),114.039683,22.545356,0.459269663,0.370229008,9号线
景田,9,1,景田地铁站,"114.043343,22.553419",景田(地铁站),114.043343,22.553419,0.459269663,0.393129771,9号线
梅景,9,1,梅景地铁站,"114.037934,22.561028",梅景(地铁站),114.037934,22.561028,0.459269663,0.494274809,9号线
下梅林,9,1,下梅林地铁站,"114.041768,22.565672",下梅林(地铁站),114.041768,22.565672,0.485955056,0.534351145,9号线
梅村,9,1,梅村地铁站,"114.052423,22.568443",梅村(地铁站),114.052423,22.568443,0.515449438,0.534351145,9号线
上梅林,9,1,上梅林地铁站,"114.059440,22.570462",上梅林(地铁站),114.05944,22.570462,0.55758427,0.534351145,9号线
孖岭,9,1,孖岭地铁站,"114.067778,22.568458",孖岭(地铁站),114.067778,22.568458,0.599719101,0.534351145,9号线
银湖,9,1,银湖地铁站,"114.089784,22.568344",银湖(地铁站),114.089784,22.568344,0.654494382,0.59351145,9号线
泥岗,9,1,泥岗地铁站,"114.097634,22.567804",泥岗(地铁站),114.097634,22.567804,0.698033708,0.59351145,9号线
红岭北,9,1,红岭北地铁站,"114.104315,22.562030",红岭北(地铁站),114.104315,22.56203,0.707865169,0.534351145,9号线
园岭,9,1,园岭地铁站,"114.104497,22.556288",园岭(地铁站),114.104497,22.556288,0.707865169,0.501908397,9号线
红岭,9,1,红岭地铁站,"114.104584,22.548380",红岭(地铁站),114.104584,22.54838,0.709269663,0.452290076,9号线
红岭南,9,1,红岭南地铁站,"114.104749,22.539943",红岭南(地铁站),114.104749,22.539943,0.707865169,0.358778626,9号线
鹿丹村,9,1,鹿丹村地铁站,"114.108625,22.535708",鹿丹村(地铁站),114.108625,22.535708,0.716292135,0.291984733,9号线
人民南,9,1,人民南地铁站,"114.118154,22.535514",人民南(地铁站),114.118154,22.535514,0.75,0.290076336,9号线
向西村,9,1,向西村地铁站,"114.125767,22.539792",向西村(地铁站),114.125767,22.539792,0.810393258,0.309160305,9号线
文锦,9,1,文锦地铁站,"114.130962,22.542259",文锦(地铁站),114.130962,22.542259,0.810393258,0.353053435,9号线
福田,11,1,福田地铁站,"114.052879,22.540087",福田(地铁站),114.052879,22.540087,0.526685393,0.393129771,11号线
车公庙,11,1,车公庙地铁站,"114.025830,22.536247",车公庙(地铁站),114.02583,22.536247,0.460674157,0.339694656,11号线
红树湾南,11,1,红树湾南地铁站,"113.971433,22.523023",红树湾南(地铁站),113.971433,22.523023,0.289325843,0.278625954,11号线
后海,11,1,后海地铁站,"113.942498,22.518422",后海(地铁站),113.942498,22.518422,0.240168539,0.230916031,11号线
南山,11,1,南山地铁站,"113.923596,22.524022",南山(地铁站),113.923596,22.524022,0.175561798,0.291984733,11号线
前海湾,11,1,前海湾地铁站,"113.897932,22.537121",前海湾(地铁站),113.897932,22.537121,0.140449438,0.33778626,11号线
宝安,11,1,宝安地铁站,"113.880396,22.554590",宝安(地铁站),113.880396,22.55459,0.087078652,0.429389313,11号线
碧海湾,11,1,碧海湾地铁站,"113.856093,22.575073",碧海湾(地铁站),113.856093,22.575073,0.085674157,0.519083969,11号线
机场,11,1,机场地铁站,"113.813663,22.624026",机场(地铁站),113.813663,22.624026,0.087078652,0.616412214,11号线
机场北,11,1,机场北地铁站,"113.798179,22.651128",机场北(地铁站),113.798179,22.651128,0.113764045,0.658396947,11号线
福永,11,1,福永地铁站,"113.806076,22.673562",福永(地铁站),113.806076,22.673562,0.136235955,0.683206107,11号线
桥头,11,1,桥头地铁站,"113.811001,22.688133",桥头(地铁站),113.811001,22.688133,0.157303371,0.70610687,11号线
塘尾,11,1,塘尾地铁站,"113.817878,22.702075",塘尾(地铁站),113.817878,22.702075,0.183988764,0.75,11号线
马安山,11,1,马安山地铁站,"113.817005,22.716998",马安山(地铁站),113.817005,22.716998,0.183988764,0.791984733,11号线
沙井,11,1,沙井地铁站,"113.824434,22.730849",沙井(地铁站),113.824434,22.730849,0.183988764,0.835877863,11号线
后亭,11,1,后亭地铁站,"113.826874,22.752625",后亭(地铁站),113.826874,22.752625,0.183988764,0.879770992,11号线
松岗,11,1,松岗地铁站,"113.829609,22.772332",松岗(地铁站),113.829609,22.772332,0.183988764,0.921755725,11号线
碧头,11,1,碧头地铁站,"113.819959,22.784486",碧头(地铁站),113.819959,22.784486,0.183988764,0.965648855,11号线
