class,value
k,2.706587434
k,3.714536159
k,2.192015964
k,2.657146683
k,3.351120384
k,2.76670888
k,3.909853179
k,5.492348688
mm,1.62438204
mm,1.611303842
mm,1.235048523
mm,1.313445616
mm,1.84954199
mm,1.633329057
mm,1.933264315
mm,2.115553284
mm,1.44198165
mm,1.845954617
mm,1.446127274
mm,2.194777028
mm,1.758875703
mm,1.841203794
mm,1.862634253
mm,1.709522968
mm,2.321449233
mm,1.90107595
mm,2.597293939
mm,1.338262115
mm,2.21120529
mm,1.466654042
mm,1.856028032
mm,2.080204917
mm,2.235965255
mm,1.220503799
mm,2.113154285
mm,1.745671341
mm,1.78688126
mm,1.931387094
mm,1.850742611
mm,2.071480403
mm,2.227170188
mm,1.845947976
mm,1.913844158
mm,1.79480744
mm,2.024034425
mm,1.614837334
mm,1.726707487
mm,2.21848613
mm,1.467230753
mm,2.239955175
mm,1.657055779
mm,1.670180552
mm,1.484357963
mm,1.971007216
mm,2.502898522
mm,2.067753981
mm,1.58103239
mm,2.367880187
mm,3.534722864
mm,4.23581696
mm,3.626193783
mm,3.380247047
mm,4.022074054
mm,3.578179448
mm,3.703610644
mm,3.906529417
mm,4.13604941
mm,4.036212515
mm,3.999646314
mm,3.79620658
mm,3.043329067
mm,4.083250568
mm,3.826947793
mm,4.064376335
mm,3.528111644
mm,3.556626982
mm,4.31491882
mm,3.693232766
mm,3.655758206
mm,3.726667067
mm,3.785859624
mm,3.765388143
mm,3.68161494
mm,3.102289771
mm,3.609855399
mm,3.791846505
mm,3.422939282
mm,3.554495165
mm,3.501913159
mm,3.356855907
mm,4.226346181
mm,3.767882028
mm,3.760939992
mm,4.115745811
mm,3.785643882
mm,4.085614212
mm,3.477358391
mm,3.874745212
mm,3.654941363
mm,3.264423354
mm,3.032196547
mm,4.056494782
mm,3.071014003
mm,3.352822514
mm,3.571256964
mm,3.932317644
mm,4.335818112
mm,3.704271615
