class,value
s,2.834439056
s,3.940251785
s,2.379825155
s,2.785444749
s,3.535350103
s,2.89541994
s,4.153917979
s,5.77268421
s,2.727701817
s,2.704325291
s,2.018711401
s,2.173430695
s,3.170159255
s,2.743781118
s,3.366516906
s,3.895799447
s,2.407438778
s,3.162242564
s,2.414741021
s,4.184982363
s,2.980306651
s,3.151814955
s,3.199371426
s,2.884451578
s,4.749216248
s,3.288232642
s,6.612124149
s,2.220137107
s,4.250554693
s,2.450776209
s,3.184567776
s,3.779769561
s,4.353381287
s,1.988572511
s,3.887687927
s,2.954218378
s,3.036840141
s,3.361847241
s,3.172817117
s,3.752244423
s,4.316291266
s,3.162227941
s,3.318839984
s,3.053158263
s,3.609691125
s,2.710627153
s,2.917331392
s,4.280283252
s,2.451786129
s,4.370417113
s,2.786812582
s,2.810890035
s,2.481731608
s,3.463337701
s,5.852848166
s,3.740616785
s,2.650703965
s,4.994139785
s,2.751043615
s,4.836259972
s,2.921422068
s,2.479151406
s,3.927080441
s,2.830554696
s,3.076966938
s,3.567341055
s,4.364970145
s,3.976439219
s,3.85135927
s,3.282930904
s,1.825325267
s,4.150335051
s,3.35736752
s,4.078708409
s,2.739129524
s,2.790842445
s,5.28287706
s,3.055349098
s,2.979344064
s,3.125964947
s,3.258617059
s,3.211541386
s,3.031451711
s,1.955710719
s,2.890091181
s,3.272641559
s,2.55360453
s,2.786945546
s,2.69230103
s,2.438219086
s,4.787405732
s,3.217205322
s,3.201486588
s,4.279843686
s,3.258113896
s,4.159486681
s,2.648870869
s,3.48025856
s,2.977720906
s,2.273255409
s,1.799525074
s,4.049544264
s,1.887802107
s,2.431140825
s,2.817734584
s,3.641464198
s,5.413364262
s,3.078352706
s,2.89845973
s,2.988989307
s,3.215579671
s,2.93495135
s,4.057481995
s,0.825370437
s,3.76651793
s,3.898407123
s,4.630144364
s,2.957164615
s,2.87641655
s,2.883964684
s,3.993115589
s,3.926360607
s,2.958939346
s,2.678835252
s,2.408207708
s,2.661097385
s,3.376891536
s,3.514454395
s,3.018453365
s,4.710154171
s,2.793147368
s,3.283475333
s,4.86798722
s,2.800627253
s,4.893495112
s,2.696038463
s,3.689650561
s,3.864349974
s,4.019558167
s,2.282381295
s,5.877785257
s,3.161797844
s,3.516186254
s,2.760536229
s,3.562684739
s,2.743504762
s,4.067758902
s,3.754152997
s,3.000923032
s,3.060331827
s,3.224767558
s,2.008886057
s,3.523341018
s,3.199813806
s,2.836877626
s,3.557728098
s,3.01936603
s,3.555025506
s,4.598265976
s,4.886573867
s,3.479907048
s,3.516915714
s,4.760884945
s,3.918489643
s,2.907395793
s,3.21419134
s,4.212869146
s,2.870488625
s,2.810637188
s,3.203628307
s,4.114979298
s,3.006059461
s,5.505515225
s,2.857113865
s,3.782080145
s,3.656919287
s,3.039770124
s,9.269924393
s,3.117875452
s,2.819657471
s,4.652412374
s,3.649421538
s,3.661435005
s,1.990527326
s,4.457427189
s,4.718384267
s,3.227471987
s,3.260831991
s,2.47517253
s,3.820225214
s,2.929101738
s,4.142678389
s,2.039561829
s,2.525929487
s,4.095572601
s,3.011107204
s,2.620967336
s,2.276894404
s,2.580139674
s,3.540164592
s,4.638206682
s,3.188515989
s,1.621406015
s,4.799001194
s,3.000234734
s,4.083939145
s,2.981338943
s,2.588713554
s,3.929914081
s,4.129141064
s,2.93181028
s,3.189400488
s,5.298267242
s,3.470415801
s,2.122485074
s,3.090198061
s,3.292775308
s,3.757408326
s,3.023958475
s,3.344740001
s,2.702799976
s,5.216168451
s,2.784224932
s,3.061152216
s,3.557728676
s,2.139626511
s,3.300682244
s,4.047749684
s,2.589553175
s,3.943363888
s,3.17195519
s,3.187521895
s,2.430165335
s,3.080189929
s,3.215270062
s,3.326957186
s,3.02703455
s,4.346894199
s,6.268195561
s,3.007341281
s,3.203645771
s,3.617597349
s,3.32297116
s,3.496855091
s,4.573232315
s,3.26405033
s,2.384977598
s,2.826839608
s,3.848253367
s,3.53157882
s,3.961572286
s,2.918979544
s,3.211012113
s,3.110451799
s,2.569053727
s,2.557961153
s,2.920208878
s,3.434201868
s,3.754236965
s,4.220742234
s,5.031502862
s,2.702020792
s,3.248487479
s,3.470721415
s,3.724918136
s,5.263190104
s,3.638136134
s,4.972955711
s,5.019406276
s,5.760992453
s,3.725141043
s,4.747969285
s,3.450491743
s,3.34859817
s,2.919796685
s,3.897507384
s,3.534086219
s,4.022508034
s,3.575027496
s,3.349906105
s,3.052431757
s,3.599266409
s,4.265916731
s,5.306941494
s,2.920024546
s,2.228581343
s,2.969968624
s,3.470411771
s,2.103145767
s,4.009726815
s,3.428817446
s,2.214242899
s,2.974192463
s,3.22508838
s,3.131210773
s,3.752041757
s,3.709337949
s,2.826527666
s,3.213315337
s,3.08945137
s,5.743951418
s,3.246605162
s,2.969460284
s,4.235425843
s,3.681487561
s,3.346894794
s,3.411717686
s,2.937405113
s,2.680140868
s,3.242153644
s,3.277643337
s,3.675714663
s,2.826058722
s,3.271530681
s,3.745861715
s,2.039243939
s,4.341809099
s,2.915741775
s,4.293721475
s,3.171306899
s,3.619441787
s,3.239306644
s,3.872929608
s,5.122943235
s,2.719995059
s,3.318218231
s,2.79581023
s,4.265974033
s,3.216667733
s,3.160376357
s,3.659184887
s,3.907356709
s,2.741822332
s,3.095338309
s,2.47854354
s,3.07614917
s,5.550861305
s,3.224049827
s,2.687705724
s,2.499866798
s,3.796186416
s,4.047379195
s,2.477997127
s,4.116262535
s,4.170482666
s,3.466911832
s,2.678116606
s,3.229156591
s,4.326647382
s,3.15994876
s,2.673871481
s,3.219899773
s,3.843156771
s,3.834911849
s,4.130046783
s,2.834849042
s,2.893399104
s,3.683749945
s,2.927131416
s,2.472612718
s,4.088194799
s,3.480125794
s,3.044667825
s,2.78753364
s,2.909350501
s,3.928015866
s,2.481581927
s,5.744645654
s,2.669327439
s,4.311236086
s,3.435980248
s,4.6627532
s,4.591977914
s,3.824427752
s,2.980714696
s,3.113577384
s,3.016435949
s,2.289103521
s,1.754480454
s,2.767786539
s,3.760563569
s,3.188619348
s,3.173296355
s,4.318696227
s,2.921909232
s,3.330833303
s,2.822174994
s,4.25972002
s,4.045940693
s,8.294242843
s,3.88492099
s,3.877391225
s,3.511377824
s,2.197833452
s,3.122873796
s,3.946616845
s,3.942181738
s,4.915378852
s,4.885691017
s,2.85589932
s,4.769172548
s,3.416845213
s,2.969698014
s,4.745374921
s,3.363205209
s,3.62236059
s,4.264917712
s,2.371973154
s,3.46111654
s,3.886215588
s,2.635997869
s,2.662466406
s,4.387836658
s,4.257120217
s,2.694881028
s,2.991684686
s,2.50559781
s,3.619895121
s,2.648542506
s,3.260977238
s,3.164882201
s,3.177447994
s,3.626629618
s,3.176814136
s,2.903884379
s,3.426698135
s,3.008630454
s,4.586051524
s,3.549576532
s,2.816552606
s,3.386243452
s,3.027910371
s,3.880572399
s,2.211952187
s,2.348162798
s,3.369705955
s,3.420041777
s,2.482691906
s,5.487591982
s,1.703732452
s,3.180312106
s,3.301126943
s,5.726240148
s,2.58068467
s,3.843187403
s,2.275785883
s,2.997452414
s,3.174731282
s,2.86258491
s,4.699727859
s,3.562420376
s,3.688962816
s,3.155874359
s,3.126042934
s,4.112853811
s,3.033502602
s,3.39709403
s,3.013020539
s,3.477112091
s,3.320554078
s,3.145916918
s,2.489251318
s,3.249096993
s,2.872005302
s,2.96369477
s,8.356682601
s,2.788467465
s,3.09368817
s,2.311361899
s,2.256496105
s,2.517388201
s,2.736373193
s,2.457271566
s,2.934124227
s,4.157939146
s,4.153380454
s,3.0180085
s,3.457823866
s,1.716603598
s,3.44132065
s,5.479286954
s,3.310917258
s,2.195809067
s,2.938005856
s,3.514565959
s,2.324134707
s,2.675409907
s,6.46848046
s,3.014962875
s,3.171594417
s,2.942520507
s,3.3233422
s,2.866459784
s,2.46789877
s,2.455053721
s,3.047292908
s,3.258667063
s,4.792535832
s,5.495908624
s,2.915888731
s,3.689846326
s,4.006491408
s,2.462315715
s,3.604245982
s,3.429314017
s,3.648936023
s,3.46022902
s,3.314328635
s,3.505222194
s,3.218583726
s,3.254000571
s,2.791224286
s,4.500649083
s,3.741753849
s,2.73224476
s,4.381428558
s,4.339524948
s,4.892575019
s,3.446476429
s,4.449282863
s,3.878887036
s,4.089107944
s,4.142720529
s,3.214188067
s,2.384773653
s,3.232121925
s,4.672933166
s,2.262507771
s,4.915599794
s,3.511176059
s,3.120523961
s,3.475981028
s,2.898128564
s,3.855918968
s,2.712596745
s,6.360812912
s,3.017692416
s,5.501795967
s,3.865991246
s,3.3882066
s,5.220681821
s,3.917149002
s,2.869980272
s,3.002012052
s,2.698498695
s,3.898818188
s,3.267210346
s,4.538552612
s,2.601506507
s,3.000515126
s,3.46350953
s,9.57735254
s,3.162860465
s,3.039547437
s,2.928633641
s,2.400490431
s,3.119573943
s,3.173412057
s,3.680318738
s,4.759383231
s,4.418712005
s,4.213201359
s,1.982606773
s,2.734260378
s,3.940013861
s,2.9334811
s,2.802150849
s,4.901216674
s,3.398621455
s,2.628830975
s,3.27687753
s,7.341596262
s,3.557798598
s,1.703312766
s,3.349607379
s,4.016639295
s,3.761365151
s,3.147637238
s,3.458700883
s,4.382877998
s,3.072022006
s,3.197055599
s,2.32746726
s,3.180461878
s,2.545047421
s,3.144392131
s,7.644767543
s,2.988388782
s,3.25869458
s,4.521147569
s,2.900383582
s,2.913082914
s,4.990653873
s,2.853131386
s,3.001481464
s,2.860259439
s,3.38467167
s,6.991849214
s,3.190231679
s,3.053960608
s,3.972806758
s,3.258065824
s,3.230245768
s,4.013662143
s,4.238117154
s,4.160635808
s,3.611546503
s,3.055145264
s,4.171249662
s,2.224980555
s,1.80194068
s,4.478260604
s,5.108244073
s,3.458909645
s,3.335430951
s,2.528840974
s,3.931979526
s,2.911207442
s,4.367968067
s,4.494430021
s,3.39159683
s,2.381877042
s,3.447103062
s,3.200549441
s,3.138617204
s,4.766480502
s,3.896954176
s,3.54382854
s,3.459859786
s,3.166485165
s,4.303080898
s,4.537914881
s,9.854037883
s,2.984829105
s,2.29092769
s,3.665157762
s,3.068453772
s,3.513681222
s,4.322470971
s,3.622344261
s,2.41136298
s,3.103936658
s,3.020167816
s,3.209064376
s,3.725984923
s,2.522427423
s,3.436243925
s,3.449712665
s,2.946789249
s,3.821425552
s,3.203004423
s,3.405152603
s,3.503102992
s,2.854478265
s,2.500639064
s,3.334582424
s,3.474249796
s,2.912146788
s,2.497905497
s,3.524605027
s,3.397937253
s,3.765026749
s,3.282903089
s,2.617265245
s,4.143055667
s,4.832792034
s,4.126451018
s,2.380832518
s,2.574677675
s,2.586084437
s,3.593424448
s,3.618675477
s,7.280453816
s,3.570036685
s,3.380823367
s,4.226854444
s,3.471790934
s,5.49508037
s,3.775808868
s,4.302646587
s,2.903270965
s,5.69729585
s,3.527502372
s,3.384095261
s,3.316151071
s,3.310288967
s,2.921560911
s,5.454456115
s,4.282433207
s,2.957355608
s,3.096545014
s,3.127748894
s,4.735127735
s,4.108579693
s,3.060696075
s,4.08043303
s,2.221229179
s,3.271609218
s,5.494679039
s,3.796009611
s,3.815029176
s,2.699654867
s,3.008092927
s,2.643895284
s,2.872293321
s,2.145335853
s,4.950200157
s,4.059378998
s,2.578634063
s,2.606191865
s,2.973221742
s,3.192036266
s,3.436061408
s,3.481534605
s,3.500522631
s,3.265701908
s,2.422794829
s,3.000124118
s,5.765439443
s,2.68075872
s,2.730047896
s,3.744690913
s,3.300616392
s,3.577417159
s,4.397414423
s,4.321785637
s,2.544421053
s,3.296063834
s,2.855723011
s,1.924118327
s,2.516757357
s,3.023483963
s,3.467773315
s,2.041124766
s,5.858326156
s,3.579283104
s,4.545736103
s,2.774138999
s,3.779274535
s,3.913221561
s,3.25865142
s,5.380365515
s,2.605147004
s,3.307042632
s,3.274030699
s,2.410720224
s,5.513475221
s,4.370295646
s,3.543007124
s,2.403338072
s,3.308252436
s,3.692265877
s,3.818343728
s,2.435785458
s,5.249030173
s,4.016794864
s,3.553739264
s,3.635211899
s,2.163033691
s,4.615401603
s,2.424221769
s,3.671582062
s,2.443152001
s,3.45926517
s,2.836425171
s,4.266360248
s,4.42198313
s,3.526055668
s,3.11354295
s,3.095186714
s,3.593784879
s,4.626250101
s,4.208469316
s,2.657939761
s,2.912354161
s,3.185869467
s,3.868330133
s,3.996948311
s,6.951966764
s,2.708200304
s,3.036502381
s,3.123966533
s,3.36665351
s,3.833143585
s,2.648782891
s,2.664082825
s,3.844002206
s,3.430347092
s,2.909104615
s,4.902711976
s,2.670232759
s,2.840581504
s,2.615264649
s,2.484769265
s,3.378388165
s,3.553661189
s,3.45804332
s,9.690377177
s,4.274425451
s,3.264917541
s,2.982429937
s,2.813348716
s,3.074321995
s,3.230567932
s,2.860802737
s,5.477693668
s,3.075669171
s,2.187944325
k,2.735590368
k,2.987183793
k,2.893209904
k,2.946544815
k,3.986953334
k,3.265343121
k,2.983409022
k,2.564830462
k,3.596433019
k,4.412794581
k,3.869464377
k,2.867305213
k,2.993080246
k,3.052981566
k,2.975827861
k,1.862304703
k,3.133661314
k,2.997682681
k,4.703079537
k,3.230761093
k,2.628622192
k,2.858265945
k,2.724355312
k,2.410401348
k,2.007147612
k,5.126247699
k,4.150204395
k,3.667485725
k,4.736029044
k,4.366163398
k,5.254789269
k,3.24793072
k,4.324582912
k,2.777892044
k,4.334158832
k,2.742881587
k,4.806197859
k,3.113025337
k,2.883082407
k,4.630167046
k,3.093428766
k,3.479507376
k,2.4739849
k,2.779916731
k,3.270335878
k,8.884253617
k,3.891986822
k,3.532317655
k,2.544859446
k,3.787380103
k,2.579756509
k,2.794716335
k,2.122247364
k,2.75372983
k,2.387687086
k,4.021466439
k,2.982952845
k,3.481838212
k,3.183856233
k,1.82172506
k,2.98475204
k,2.814171981
k,2.678689079
k,3.467139564
k,3.311097202
k,4.264414127
k,3.459822231
k,4.577434179
k,7.650939144
k,2.462149816
k,1.411638443
k,4.913622286
k,4.995869259
k,3.476801768
k,4.349807222
k,3.373305866
k,3.1298816
k,2.504773807
k,4.110282034
k,3.680244077
k,6.070312732
k,3.527669543
k,5.395461304
k,7.912328288
k,2.529573933
k,3.549564834
k,2.990390765
k,2.488766378
k,3.842743092
k,3.196630167
k,2.784254541
k,3.473257064
k,4.345389096
k,2.467715555
k,3.542183932
k,3.678788501
k,2.941704314
k,3.390950721
k,7.429876609
k,2.94891512
k,3.56342095
k,2.090194529
k,3.131853522
k,3.503928812
k,2.523332252
k,4.710156842
k,0.852549649
k,2.6826187
k,2.646649474
k,2.932565065
k,2.223050651
k,3.143993997
k,3.572074471
k,3.486937052
k,2.980479009
k,4.790502224
k,3.630064084
k,3.000993441
k,3.09437729
k,2.751368252
k,3.196316653
k,3.121960363
k,3.004734538
k,3.542560551
k,3.957093615
k,2.949694771
k,3.385206383
k,4.937038569
k,3.982427212
k,2.86175389
k,5.154489049
k,3.099022291
k,3.088161339
k,3.820816778
k,3.392883098
k,3.10277147
k,3.300174603
k,3.053298915
k,3.525189081
k,3.417079592
k,2.244879499
k,2.896771033
k,6.175837183
k,3.212532593
k,2.971905776
k,3.410868755
k,6.355894359
k,2.563460557
k,3.583264037
k,11.62834984
k,3.110966729
k,5.227691153
k,3.581231053
k,3.932755505
k,2.96251809
k,3.286213818
k,3.107529955
k,2.294404538
k,3.077758419
k,6.022148937
k,4.519495158
k,2.968784536
k,4.025057648
k,4.340234135
k,2.360473152
k,3.638829929
k,2.748162138
k,3.422677028
k,3.790208621
k,3.409567086
k,2.562229072
k,2.393785664
k,4.595649546
k,1.373368828
k,3.499629919
k,3.194722346
k,2.996504906
k,3.86929189
k,3.000001577
k,2.662146515
k,2.711230918
k,1.950947682
k,2.509868144
k,3.46134519
k,3.344757598
k,4.219097792
k,2.962643645
k,3.597167061
k,2.457028662
k,2.952910165
k,1.924342985
k,9.331893573
k,2.45718317
k,2.269201632
k,4.100155451
k,3.646066672
k,2.753012097
k,4.36299581
k,3.956677332
k,3.111656654
k,4.776908098
k,3.225919959
k,3.27387429
k,2.084649716
k,3.303580841
k,3.588609701
k,3.539967104
k,3.741343419
k,3.831431609
k,3.691702854
k,4.43929441
k,3.327306289
k,3.097095181
k,3.07743159
k,2.974629757
k,2.646952131
k,2.854616905
k,2.066389514
k,2.412218541
k,3.177157607
k,5.303149995
k,3.399278029
k,6.740653797
k,2.058079369
k,5.593978162
k,2.654958598
k,2.99702414
k,3.886851595
k,2.207293285
k,3.79028373
k,4.371627607
k,2.6118941
k,3.002446407
k,3.270184197
k,2.619265383
k,3.544001576
k,2.366437882
k,4.280006355
k,2.815613012
k,7.309003777
k,4.650675629
k,2.202709619
k,3.107338799
k,2.655791302
k,2.754868541
k,4.453618547
k,4.753158851
k,3.92595868
k,3.21347711
k,3.378087588
k,6.030325177
k,3.344204273
k,3.358819614
k,3.031169132
k,3.658615371
k,3.227237374
k,2.969267862
k,3.036187314
k,2.390726258
k,2.350981614
k,4.086205225
k,2.883628483
k,5.078503382
k,5.352332653
k,2.633498232
k,3.170316355
k,2.827696482
k,2.618898562
k,4.245303726
k,3.457777753
k,3.187759563
k,2.474035709
k,2.190495897
k,3.740312296
k,3.182931882
k,4.511556458
k,3.166108466
k,2.907784794
k,3.452546987
k,3.108193151
k,3.249508219
k,4.296527169
k,3.138790793
k,3.116023343
k,2.753387107
k,3.07187336
k,4.594659916
k,3.112608027
k,2.954938881
k,3.102444511
k,3.137370355
k,2.565562211
k,2.775476801
k,3.530968395
k,3.653983171
k,1.980596722
k,3.123864527
k,2.987315776
k,4.024588839
k,2.87928122
k,2.623140652
k,3.102274465
k,3.790997069
k,3.762244132
k,1.875332203
k,2.216075438
k,4.019648843
k,4.560559041
k,2.757475067
k,3.650242649
k,4.076228639
k,6.083248783
k,2.581747816
k,4.217420602
k,5.150463442
k,2.942431328
k,4.548174079
k,4.351584625
k,2.515720946
k,3.410217639
k,2.633826112
k,3.582664615
k,2.294741754
k,2.750151455
k,2.490454968
k,3.36055756
k,5.02035644
k,0.821035027
k,4.316701962
k,3.108290363
k,2.026449079
k,2.80077271
k,2.984668174
k,2.128580513
k,3.862771205
k,3.012875711
k,3.620274706
k,3.889646661
k,1.810180436
k,3.755255542
k,3.269542206
k,6.024519855
k,3.304114631
k,2.506222416
k,4.471165632
k,2.408625815
k,3.757558484
k,3.803686335
k,2.498097447
k,2.090559283
k,1.689809684
k,2.315200452
k,3.537742712
k,2.86137013
k,1.551241466
k,3.008660207
k,2.42089343
k,3.405971333
k,2.525835927
k,3.012646171
k,2.051725859
k,2.040376546
k,3.332747579
k,3.098601734
k,2.119051446
k,2.702318212
k,3.252156417
k,3.55036609
k,5.21423656
k,1.939565433
k,3.47632723
k,6.128240966
k,3.414700147
k,3.976456703
k,2.636309599
k,3.791328027
k,3.00365462
k,2.561797299
k,2.987900951
k,3.58240959
k,2.757147441
k,3.441159318
k,3.003635752
k,2.406799236
k,2.543852081
k,2.713977334
k,3.139189387
k,4.411066867
k,2.95675298
k,2.274998187
k,2.755111411
k,2.510983983
k,3.057994672
k,1.889762503
k,3.240679806
k,3.645484542
k,2.813252774
k,2.651815081
k,3.576415984
k,4.187761438
k,3.915511519
k,3.477279398
k,2.554976611
k,3.149958625
k,1.862450818
k,3.083159141
k,2.118623676
k,3.2023576
k,3.934339405
k,2.909639472
k,2.337372801
k,2.915073378
k,3.356486714
k,2.49924955
k,3.057017835
k,3.849467393
k,3.571928999
k,3.364426798
k,3.952628899
k,3.214372826
k,2.416977234
k,3.308510288
k,3.216295454
k,3.04938498
k,2.775026316
k,5.265668098
k,2.813227835
k,4.037011786
k,3.079928026
k,4.913592027
k,2.910924051
k,3.206407599
k,3.238121544
k,3.05584635
k,3.078671976
k,2.58672737
k,3.315710645
k,2.831177842
k,2.636515218
k,2.942357105
k,2.471957696
k,2.83199923
k,3.427704897
k,3.094630492
k,3.151017539
k,3.536431232
k,3.469949156
k,5.271789758
k,3.431941066
k,2.723378164
k,2.847567404
k,2.477197918
k,3.245708905
k,3.343119621
k,2.489711108
k,3.148414115
k,5.048982619
k,4.132410867
k,3.253873914
k,6.037752164
k,2.71696195
k,2.889764925
k,3.269922051
k,3.012698229
k,1.926193996
k,2.930375924
k,3.268925725
k,4.655636088
k,2.102655267
k,2.943207639
k,3.287967824
k,2.338428101
k,2.805044408
k,2.468906477
k,3.190095771
k,2.854844862
k,2.962660964
k,2.720611365
k,3.974264934
k,2.981233373
k,1.916530278
k,6.627648726
k,2.879728691
k,2.714121006
k,2.603024209
k,3.684895693
k,2.437172556
k,4.081849271
k,2.811794129
k,4.281961137
k,3.358743543
k,2.083084913
k,2.800977823
k,3.957051332
k,2.448080893
k,3.222811595
k,5.38010311
k,2.741550934
k,3.965329572
k,1.537808739
k,2.430218899
k,2.574394544
k,3.122286137
k,2.363349664
k,4.908130958
k,2.805019818
k,2.894677338
k,1.566483234
k,3.998978881
k,2.74622638
k,3.856115832
k,3.119458078
k,3.291731061
k,3.170077533
k,2.528719006
k,3.325437374
k,3.95695942
k,3.240618138
k,3.422639602
k,3.092265488
k,5.459147658
k,2.786460281
k,3.438809728
k,2.026995933
k,4.00596636
k,3.231439915
k,2.988533484
k,3.367404857
k,3.701559096
k,2.563913359
k,2.886856298
k,4.377945286
k,3.255750075
k,2.870004743
k,6.118793575
k,3.790752466
k,3.299812349
k,2.328744925
k,3.292643471
k,3.328379411
k,3.211327824
k,4.781049842
k,3.035059585
k,4.105674443
k,9.180842211
k,3.518095683
k,3.659235907
k,2.884130852
k,4.124160551
k,3.20216884
k,3.812458129
k,2.940825996
k,3.679600869
k,2.372788603
k,3.233758674
k,5.911639648
k,2.945055465
k,2.815222502
k,2.757465668
k,2.556515874
k,3.904918253
k,3.30799123
k,2.908699409
k,3.498802316
k,4.420936983
k,2.206781084
k,4.293680614
k,2.427842988
k,3.719719753
k,3.143940687
k,3.828237608
k,4.07452682
k,1.866239227
k,3.573871349
k,3.104850342
k,3.131891573
k,2.755205806
k,3.041375682
k,3.216627991
k,2.679453306
k,3.278604432
k,2.84334205
k,3.501434816
k,2.420058962
k,2.748096602
k,2.757850716
k,3.11446028
k,6.771928426
k,2.565975272
k,3.064933384
k,2.734723055
k,3.274470451
k,3.982555133
k,3.33515576
k,5.573816851
k,2.240826185
k,2.627117584
k,3.062626822
k,3.60715173
k,3.008719192
k,3.015296897
k,3.625362246
k,3.792748925
k,3.547066098
k,2.197629898
k,3.069783142
k,3.555966634
k,1.949702252
k,3.774516469
k,3.23838234
k,3.47879725
k,4.405135527
k,3.510503551
k,5.769628315
k,3.123317157
k,3.787296443
k,3.134740182
k,3.176942146
k,6.499196246
k,3.117921794
k,3.01514638
k,2.37783056
k,1.744303451
k,3.749693401
k,3.375715358
k,2.67654661
k,5.376236554
k,2.405454028
k,3.176028229
k,4.189874864
k,3.950589861
k,3.07988233
k,2.371887545
k,3.102878525
k,2.691135969
k,1.978487051
k,3.434130977
k,3.056788825
k,2.924787184
k,2.204331404
k,5.158012056
k,1.811175724
k,3.280693792
k,3.051137212
k,2.587678613
k,2.356124117
k,2.393977314
k,3.571620234
